age_cat,m_died_pclass1,m_total_pclass1,f_died_pclass1,f_total_pclass1,m_died_pclass2,m_total_pclass2,f_died_pclass2,f_total_pclass2,m_died_pclass3,m_total_pclass3,f_died_pclass3,f_total_pclass3
0 to 5,0,2,1,1,0,9,0,6,10,16,7,17
6 to 10,0,1,0,0,0,2,0,5,8,13,6,10
11 to 15,0,2,0,1,1,1,0,4,10,12,5,7
16 to 20,4,5,0,14,14,15,1,9,41,44,11,29
21 to 25,6,9,0,18,20,23,2,20,70,83,15,31
26 to 30,8,16,1,9,27,29,3,18,53,69,12,19
31 to 35,9,14,0,15,24,28,1,16,36,45,8,14
36 to 40,11,20,1,23,14,14,1,6,22,25,7,12
41 to 45,9,13,0,8,13,14,1,7,22,23,4,4
46 to 50,18,27,0,14,5,5,0,5,6,7,5,8
51 to 55,8,14,1,12,8,8,0,4,5,5,0,0
56 to 60,10,11,0,9,3,3,1,2,2,2,0,0
61 to 65,9,10,1,8,4,5,1,1,2,2,0,1
66 to 70,3,3,0,0,1,1,0,0,1,1,0,0
71 to 75,3,3,0,0,1,1,0,0,2,2,0,0
75+,0,1,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,151,,133,,158,,103,,349,,152
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,1046,,,,,,,
